,id,display_name,works_api_url,works_count,country_code,h_index
2163,https://openalex.org/A5058033787,Giulia Cencetti,https://api.openalex.org/works?filter=author.id:A5058033787,53,IT,13
2164,https://openalex.org/A5081866454,Ilaria Cataldo,https://api.openalex.org/works?filter=author.id:A5081866454,53,IT,15
2165,https://openalex.org/A5086285176,Gianni Barlacchi,https://api.openalex.org/works?filter=author.id:A5086285176,51,DE,13
2166,https://openalex.org/A5045564812,Katy E. Pearce,https://api.openalex.org/works?filter=author.id:A5045564812,48,US,19
2167,https://openalex.org/A5067748867,Michela Ferron,https://api.openalex.org/works?filter=author.id:A5067748867,41,,13
2168,https://openalex.org/A5084930117,Ryan J. Gallagher,https://api.openalex.org/works?filter=author.id:A5084930117,32,US,15
2169,https://openalex.org/A5053640148,Sarah Shugars,https://api.openalex.org/works?filter=author.id:A5053640148,31,US,8
2170,https://openalex.org/A5049260372,Ashley V. Reichelmann,https://api.openalex.org/works?filter=author.id:A5049260372,30,US,9
2171,https://openalex.org/A5079861829,Larissa Doroshenko,https://api.openalex.org/works?filter=author.id:A5079861829,20,US,8
2172,https://openalex.org/A5040807502,Anthony Vashevko,https://api.openalex.org/works?filter=author.id:A5040807502,12,SG,3
2173,https://openalex.org/A5001798166,Jefferson Hoye,https://api.openalex.org/works?filter=author.id:A5001798166,3,US,2
2174,https://openalex.org/A5075233397,Andy Pilny,https://api.openalex.org/works?filter=author.id:A5075233397,3,US,3
2175,https://openalex.org/A5051782291,Keith D. Lillemoe,https://api.openalex.org/works?filter=author.id:A5051782291,938,US,116
2176,https://openalex.org/A5063847107,Mauro Conti,https://api.openalex.org/works?filter=author.id:A5063847107,932,IT,74
2177,https://openalex.org/A5009676742,Andrew L. Warshaw,https://api.openalex.org/works?filter=author.id:A5009676742,879,US,107
2178,https://openalex.org/A5019690020,Carlos Fernández‐del Castillo,https://api.openalex.org/works?filter=author.id:A5019690020,686,CL,78
2179,https://openalex.org/A5061627885,Cristina R. Ferrone,https://api.openalex.org/works?filter=author.id:A5061627885,684,US,77
2180,https://openalex.org/A5020377010,Elliott Ash,https://api.openalex.org/works?filter=author.id:A5020377010,264,CH,18
2181,https://openalex.org/A5056158754,Sarah P. Thayer,https://api.openalex.org/works?filter=author.id:A5056158754,222,US,72
2182,https://openalex.org/A5035070413,Evangelos Pournaras,https://api.openalex.org/works?filter=author.id:A5035070413,217,GB,24
2183,https://openalex.org/A5049233408,Zhi Ven Fong,https://api.openalex.org/works?filter=author.id:A5049233408,202,US,34
2184,https://openalex.org/A5062122371,Roy Phitayakorn,https://api.openalex.org/works?filter=author.id:A5062122371,164,US,26
2185,https://openalex.org/A5051851888,Jeroen van den Hoven,https://api.openalex.org/works?filter=author.id:A5051851888,130,NL,35
2186,https://openalex.org/A5076143079,Matteo Cinelli,https://api.openalex.org/works?filter=author.id:A5076143079,118,IT,19
2187,https://openalex.org/A5074707947,Klaus Sahora,https://api.openalex.org/works?filter=author.id:A5074707947,88,AT,21
2188,https://openalex.org/A5072348956,Ozanan R. Meireles,https://api.openalex.org/works?filter=author.id:A5072348956,81,US,20
2189,https://openalex.org/A5004099218,Sachit Mahajan,https://api.openalex.org/works?filter=author.id:A5004099218,63,CH,18
2190,https://openalex.org/A5039916323,Regula Hänggli,https://api.openalex.org/works?filter=author.id:A5039916323,63,CH,14
2191,https://openalex.org/A5047301239,Alessandro Galeazzi,https://api.openalex.org/works?filter=author.id:A5047301239,49,IT,12
2192,https://openalex.org/A5013164931,Carlo Michele Valensise,https://api.openalex.org/works?filter=author.id:A5013164931,41,IT,14
2193,https://openalex.org/A5056226566,Carina Ines Hausladen,https://api.openalex.org/works?filter=author.id:A5056226566,40,CH,6
2194,https://openalex.org/A5068906697,Gabriele Etta,https://api.openalex.org/works?filter=author.id:A5068906697,24,IT,6
2195,https://openalex.org/A5033987904,Marcin Korecki,https://api.openalex.org/works?filter=author.id:A5033987904,18,CH,6
2196,https://openalex.org/A5010966904,Michele Avalle,https://api.openalex.org/works?filter=author.id:A5010966904,16,IT,6
2197,https://openalex.org/A5018784231,Alessandra Olga Grazia Serra,https://api.openalex.org/works?filter=author.id:A5018784231,4,IT,1
2198,https://openalex.org/A5004517948,Alessandro Quattrociocchi,https://api.openalex.org/works?filter=author.id:A5004517948,3,DK,2
2199,https://openalex.org/A5029095817,Marcel H. Schubert,https://api.openalex.org/works?filter=author.id:A5029095817,1,DE,1
2200,https://openalex.org/A5065059558,Elisa Ricci,https://api.openalex.org/works?filter=author.id:A5065059558,413,IT,55
2201,https://openalex.org/A5033671063,Marco Cristani,https://api.openalex.org/works?filter=author.id:A5033671063,344,IT,43
2202,https://openalex.org/A5081008532,Daniele Quercia,https://api.openalex.org/works?filter=author.id:A5081008532,296,GB,43
2203,https://openalex.org/A5089971631,Ramanathan Subramanian,https://api.openalex.org/works?filter=author.id:A5089971631,262,AU,40
2204,https://openalex.org/A5066621495,Xavier Alameda-Pineda,https://api.openalex.org/works?filter=author.id:A5066621495,200,FR,30
2205,https://openalex.org/A5073916921,Samuel Rota Bulò,https://api.openalex.org/works?filter=author.id:A5073916921,186,US,40
2206,https://openalex.org/A5100392006,Wei Wang,https://api.openalex.org/works?filter=author.id:A5100392006,169,CN,29
2207,https://openalex.org/A5040448723,Michał Kosiński,https://api.openalex.org/works?filter=author.id:A5040448723,145,US,50
2208,https://openalex.org/A5061528283,Deng Cai,https://api.openalex.org/works?filter=author.id:A5061528283,136,CN,34
2209,https://openalex.org/A5024183744,Enver Sangineto,https://api.openalex.org/works?filter=author.id:A5024183744,129,IT,26
2210,https://openalex.org/A5004868515,David Stillwell,https://api.openalex.org/works?filter=author.id:A5004868515,117,GB,41
2211,https://openalex.org/A5007465102,Elia Bruni,https://api.openalex.org/works?filter=author.id:A5007465102,99,FR,21
2212,https://openalex.org/A5079937813,Linchao Bao,https://api.openalex.org/works?filter=author.id:A5079937813,91,CN,25
2213,https://openalex.org/A5100704962,Yanyan Xu,https://api.openalex.org/works?filter=author.id:A5100704962,81,CN,20
2214,https://openalex.org/A5059223686,Riccardo Gallotti,https://api.openalex.org/works?filter=author.id:A5059223686,80,IT,19
2215,https://openalex.org/A5100375513,Yahui Liu,https://api.openalex.org/works?filter=author.id:A5100375513,60,CN,16
2216,https://openalex.org/A5019996096,Fabio Celli,https://api.openalex.org/works?filter=author.id:A5019996096,52,IT,15
2217,https://openalex.org/A5000640231,Gloria Zen,https://api.openalex.org/works?filter=author.id:A5000640231,31,IT,12
2218,https://openalex.org/A5059441112,Luca Polonio,https://api.openalex.org/works?filter=author.id:A5059441112,28,IT,10
2219,https://openalex.org/A5017040952,Simone Centellegher,https://api.openalex.org/works?filter=author.id:A5017040952,25,IT,6
2220,https://openalex.org/A5066359113,Haoxian Zhang,https://api.openalex.org/works?filter=author.id:A5066359113,25,CN,12
2221,https://openalex.org/A5075228752,Filippo Privitera,https://api.openalex.org/works?filter=author.id:A5075228752,22,,9
2222,https://openalex.org/A5039092283,Michele Caraviello,https://api.openalex.org/works?filter=author.id:A5039092283,12,IT,7
2223,https://openalex.org/A5023735760,Ligia Batrinca,https://api.openalex.org/works?filter=author.id:A5023735760,10,IT,6
2224,https://openalex.org/A5036046552,David Sangokoya,https://api.openalex.org/works?filter=author.id:A5036046552,8,US,3
2225,https://openalex.org/A5038689387,João A.C. Lima,https://api.openalex.org/works?filter=author.id:A5038689387,1531,US,126
2226,https://openalex.org/A5020348286,David A. Bluemke,https://api.openalex.org/works?filter=author.id:A5020348286,1445,US,136
2227,https://openalex.org/A5046831441,Elsayed Z. Soliman,https://api.openalex.org/works?filter=author.id:A5046831441,1232,US,89
2228,https://openalex.org/A5004776448,Álvaro Alonso,https://api.openalex.org/works?filter=author.id:A5004776448,1148,US,108
2229,https://openalex.org/A5070233463,R. Graham Barr,https://api.openalex.org/works?filter=author.id:A5070233463,1118,US,118
2230,https://openalex.org/A5006663312,Susan R. Heckbert,https://api.openalex.org/works?filter=author.id:A5006663312,969,US,119
2231,https://openalex.org/A5035106740,Richard A. Kronmal,https://api.openalex.org/works?filter=author.id:A5035106740,512,US,116
2232,https://openalex.org/A5031644011,David C. Goff,https://api.openalex.org/works?filter=author.id:A5031644011,428,US,99
2233,https://openalex.org/A5058359917,Carlos J. Rodríguez,https://api.openalex.org/works?filter=author.id:A5058359917,403,US,51
2234,https://openalex.org/A5053607185,Zhezhen Jin,https://api.openalex.org/works?filter=author.id:A5053607185,391,US,54
2235,https://openalex.org/A5026789706,Andrew E. Moran,https://api.openalex.org/works?filter=author.id:A5026789706,371,US,52
2236,https://openalex.org/A5105938598,Shunichi Homma,https://api.openalex.org/works?filter=author.id:A5105938598,265,US,57
2237,https://openalex.org/A5028197766,F. Borondo,https://api.openalex.org/works?filter=author.id:A5028197766,224,ES,29
2238,https://openalex.org/A5000475040,Marı́a J. Martı́n-Bautista,https://api.openalex.org/works?filter=author.id:A5000475040,137,ES,22
2239,https://openalex.org/A5060247382,Katrina Swett,https://api.openalex.org/works?filter=author.id:A5060247382,97,US,24
2240,https://openalex.org/A5016753319,M. Dolores Ruiz,https://api.openalex.org/works?filter=author.id:A5016753319,71,ES,16
2241,https://openalex.org/A5010255577,Ricardo Andrés Guzmán,https://api.openalex.org/works?filter=author.id:A5010255577,59,CL,9
2242,https://openalex.org/A5049833846,J. Borondo,https://api.openalex.org/works?filter=author.id:A5049833846,37,ES,9
2243,https://openalex.org/A5004299584,Jorge Fábrega,https://api.openalex.org/works?filter=author.id:A5004299584,31,CL,5
2244,https://openalex.org/A5038358917,Carlos Fernandez‐Basso,https://api.openalex.org/works?filter=author.id:A5038358917,24,ES,9
2245,https://openalex.org/A5040138775,Karel Gutiérrez‐Batista,https://api.openalex.org/works?filter=author.id:A5040138775,19,ES,5
2246,https://openalex.org/A5036347319,J. Angel Diaz-Garcia,https://api.openalex.org/works?filter=author.id:A5036347319,16,ES,4
2247,https://openalex.org/A5078712422,Roberto Morcillo-Jiménez,https://api.openalex.org/works?filter=author.id:A5078712422,8,ES,3
2248,https://openalex.org/A5050854244,Alberto S. Ortega-Calvo,https://api.openalex.org/works?filter=author.id:A5050854244,1,ES,1
2249,https://openalex.org/A5074960114,Seefeld J. Kimberly,https://api.openalex.org/works?filter=author.id:A5074960114,1,,1
2250,https://openalex.org/A5059945353,Divyakant Agrawal,https://api.openalex.org/works?filter=author.id:A5059945353,552,US,68
2251,https://openalex.org/A5039292004,Amr El Abbadi,https://api.openalex.org/works?filter=author.id:A5039292004,532,US,65
2252,https://openalex.org/A5091395562,Leonardo Badia,https://api.openalex.org/works?filter=author.id:A5091395562,274,IT,29
2253,https://openalex.org/A5075129347,M. Migliorini,https://api.openalex.org/works?filter=author.id:A5075129347,215,IT,10
2254,https://openalex.org/A5022408597,Emily K. Vraga,https://api.openalex.org/works?filter=author.id:A5022408597,164,US,49
2255,https://openalex.org/A5005384315,Lisa Singh,https://api.openalex.org/works?filter=author.id:A5005384315,162,US,18
2256,https://openalex.org/A5018793623,Sabine C. Koch,https://api.openalex.org/works?filter=author.id:A5018793623,156,DE,28
2257,https://openalex.org/A5045738737,Thomas Holtgraves,https://api.openalex.org/works?filter=author.id:A5045738737,139,US,45
2258,https://openalex.org/A5050204824,Francesca Peressotti,https://api.openalex.org/works?filter=author.id:A5050204824,117,IT,22
2259,https://openalex.org/A5047121097,Leticia Bode,https://api.openalex.org/works?filter=author.id:A5047121097,116,US,38
2260,https://openalex.org/A5033134501,Angelica Moè,https://api.openalex.org/works?filter=author.id:A5033134501,95,IT,28
2261,https://openalex.org/A5066420511,Tomaso Erseghe,https://api.openalex.org/works?filter=author.id:A5066420511,93,IT,23
2262,https://openalex.org/A5086066629,Magdalena Formanowicz,https://api.openalex.org/works?filter=author.id:A5086066629,79,PL,14
2263,https://openalex.org/A5038100389,Sara Scrimin,https://api.openalex.org/works?filter=author.id:A5038100389,74,IT,26
2264,https://openalex.org/A5079845832,Justin M. Rao,https://api.openalex.org/works?filter=author.id:A5079845832,70,GB,25
2265,https://openalex.org/A5036008163,Michele Scaltritti,https://api.openalex.org/works?filter=author.id:A5036008163,45,IT,13
2266,https://openalex.org/A5070806741,Bruno Gabriel Salvador Casara,https://api.openalex.org/works?filter=author.id:A5070806741,33,AE,10
2267,https://openalex.org/A5033244259,Maria Laura Bettinsoli,https://api.openalex.org/works?filter=author.id:A5033244259,22,IT,10
2268,https://openalex.org/A5054009265,Maria Caterina Tornatora,https://api.openalex.org/works?filter=author.id:A5054009265,22,IT,14
2269,https://openalex.org/A5055147027,Damiano Clementel,https://api.openalex.org/works?filter=author.id:A5055147027,19,IT,9
2270,https://openalex.org/A5059566597,Silvia Filippi,https://api.openalex.org/works?filter=author.id:A5059566597,17,IT,4
2271,https://openalex.org/A5000530634,Colton Padden,https://api.openalex.org/works?filter=author.id:A5000530634,3,US,3
2272,https://openalex.org/A5013295835,Laura Iacovissi,https://api.openalex.org/works?filter=author.id:A5013295835,2,DE,2
2273,https://openalex.org/A5041794673,Ervin Dollani,https://api.openalex.org/works?filter=author.id:A5041794673,1,IT,1
2274,https://openalex.org/A5042310352,Elisa M. Merkel,https://api.openalex.org/works?filter=author.id:A5042310352,1,,1
2275,https://openalex.org/A5034823602,Mike Thelwall,https://api.openalex.org/works?filter=author.id:A5034823602,991,GB,86
2276,https://openalex.org/A5068542997,Vincent Larivière,https://api.openalex.org/works?filter=author.id:A5068542997,594,CA,68
2277,https://openalex.org/A5029635562,Guo Zhang,https://api.openalex.org/works?filter=author.id:A5029635562,387,CN,35
2278,https://openalex.org/A5029483412,Cassidy R. Sugimoto,https://api.openalex.org/works?filter=author.id:A5029483412,308,US,51
2279,https://openalex.org/A5084267145,Gennaro Cordasco,https://api.openalex.org/works?filter=author.id:A5084267145,266,IT,26
2280,https://openalex.org/A5014077037,Stefanie Haustein,https://api.openalex.org/works?filter=author.id:A5014077037,215,CA,35
2281,https://openalex.org/A5050821883,Bogdan Vasilescu,https://api.openalex.org/works?filter=author.id:A5050821883,145,US,42
2282,https://openalex.org/A5011462243,Alejandra Castro,https://api.openalex.org/works?filter=author.id:A5011462243,130,GB,30
2283,https://openalex.org/A5008743630,Jaime Alfaro,https://api.openalex.org/works?filter=author.id:A5008743630,102,CL,17
2284,https://openalex.org/A5027781990,Carmen Leicht-Scholten,https://api.openalex.org/works?filter=author.id:A5027781990,93,DE,7
2285,https://openalex.org/A5049099052,Jorge J. Varela,https://api.openalex.org/works?filter=author.id:A5049099052,92,CL,18
2286,https://openalex.org/A5066508991,Jens Meinicke,https://api.openalex.org/works?filter=author.id:A5066508991,52,US,16
2287,https://openalex.org/A5008275501,Fereshteh Didegah,https://api.openalex.org/works?filter=author.id:A5008275501,49,SE,19
2288,https://openalex.org/A5033772398,Przemysław Szufel,https://api.openalex.org/works?filter=author.id:A5033772398,43,PL,9
2289,https://openalex.org/A5014032290,Carole J. Lee,https://api.openalex.org/works?filter=author.id:A5014032290,31,US,12
2290,https://openalex.org/A5004019134,Ali Gazni,https://api.openalex.org/works?filter=author.id:A5004019134,25,IR,15
2291,https://openalex.org/A5042776506,Luca Vicidomini,https://api.openalex.org/works?filter=author.id:A5042776506,19,IT,8
2292,https://openalex.org/A5021170243,Cassandra Overney,https://api.openalex.org/works?filter=author.id:A5021170243,11,US,4
2293,https://openalex.org/A5053806434,Casey Randazzo,https://api.openalex.org/works?filter=author.id:A5053806434,8,NL,2
2294,https://openalex.org/A5012627785,Michele Carillo,https://api.openalex.org/works?filter=author.id:A5012627785,7,IT,4
2295,https://openalex.org/A5018652905,Gisela Carrillo,https://api.openalex.org/works?filter=author.id:A5018652905,7,CL,4
2296,https://openalex.org/A5015832212,Flavio Serrapica,https://api.openalex.org/works?filter=author.id:A5015832212,6,IT,4
2297,https://openalex.org/A5044616621,Sam Work,https://api.openalex.org/works?filter=author.id:A5044616621,6,CA,2
2298,https://openalex.org/A5089613849,Francesco Raia,https://api.openalex.org/works?filter=author.id:A5089613849,3,IT,2
2299,https://openalex.org/A5005925159,Francesco Milone,https://api.openalex.org/works?filter=author.id:A5005925159,2,IT,2
2300,https://openalex.org/A5088654499,Jian Gao,https://api.openalex.org/works?filter=author.id:A5088654499,364,CN,55
2301,https://openalex.org/A5000597416,Steven Pinker,https://api.openalex.org/works?filter=author.id:A5000597416,345,US,84
2302,https://openalex.org/A5041623858,David L. Rigby,https://api.openalex.org/works?filter=author.id:A5041623858,300,US,46
2303,https://openalex.org/A5074532835,Scott Duke Kominers,https://api.openalex.org/works?filter=author.id:A5074532835,270,US,34
2304,https://openalex.org/A5007117877,J. Christopher Westland,https://api.openalex.org/works?filter=author.id:A5007117877,226,US,27
2305,https://openalex.org/A5033526663,Marcelo Mendoza,https://api.openalex.org/works?filter=author.id:A5033526663,156,PH,20
2306,https://openalex.org/A5060233883,Anne Otto,https://api.openalex.org/works?filter=author.id:A5060233883,123,DE,13
2307,https://openalex.org/A5016705181,Viktor Stojkoski,https://api.openalex.org/works?filter=author.id:A5016705181,108,MK,14
2308,https://openalex.org/A5052946795,Dany Bahar,https://api.openalex.org/works?filter=author.id:A5052946795,95,US,14
2309,https://openalex.org/A5032934166,Frank Neffke,https://api.openalex.org/works?filter=author.id:A5032934166,93,AT,19
2310,https://openalex.org/A5008893511,Jordi Albó-Canals,https://api.openalex.org/works?filter=author.id:A5008893511,68,US,16
